table	field	type	source	required	direct_identifier	analysis_workspace_allowed	definition
secure_linkage	source_patient_id	string	HIS/LIS/endoscopy/pathology	yes	yes	no	医院原始患者标识；只存在于受控映射区
patient	patient_key	string	secure linkage service	yes	no	yes	不可逆匿名患者键；唯一独立统计单位
patient	sex_at_birth	category	HIS	yes	no	yes	出生登记性别；未知单列
patient	birth_year_band	category	HIS	yes	no	yes	按伦理允许的年龄带；不保留完整出生日期
patient	hereditary_syndrome_flag	boolean	HIS/pathology/genetics	yes	no	yes	FAP、Lynch 或其他明确遗传性息肉综合征
patient	ibd_flag	boolean	HIS/pathology	yes	no	yes	炎症性肠病相关异型增生排除标志
endoscopy_episode	episode_key	string	endoscopy	yes	no	yes	同一次内镜检查匿名键
endoscopy_episode	patient_key	string	secure linkage service	yes	no	yes	关联患者
endoscopy_episode	procedure_date_shifted	date	endoscopy	yes	no	yes	受控平移或伦理批准的检查日期
endoscopy_episode	indication	category	endoscopy	yes	no	yes	筛查、监测、症状或其他预设类别
endoscopy_episode	bowel_prep_quality	category	endoscopy	no	no	yes	标准化肠道准备质量
endoscopy_episode	complete_exam_flag	boolean	endoscopy	yes	no	yes	是否到达盲肠/完成预定范围
endoscopy_episode	total_lesion_count	integer	endoscopy	yes	no	yes	同次内镜记录的病灶总数
lesion	lesion_key	string	endoscopy/pathology linkage	yes	no	yes	同一次内镜内的独立病灶键
lesion	episode_key	string	endoscopy	yes	no	yes	关联内镜 episode
lesion	location	category	endoscopy/pathology	yes	no	yes	盲肠、升结肠、横结肠、降结肠、乙状结肠、直肠等冻结分类
lesion	size_mm	number	endoscopy/pathology	yes	no	yes	优先内镜测量；病理测量另保留来源
lesion	morphology	category	endoscopy	no	no	yes	巴黎分型或可映射形态
lesion	resection_method	category	endoscopy	yes	no	yes	EMR、ESD、圈套、手术等
lesion	en_bloc_flag	boolean	endoscopy/pathology	yes	no	yes	整块切除标志
lesion	complete_resection_assessment	category	endoscopy/pathology	no	no	yes	完整、疑似不完整、未知
lesion_pair	bl_pair_key	string	derived linkage	conditional	no	yes	B-L 嵌套比较键；只在存在合格同步独立 LGD 时建立
lesion_pair	episode_key	string	endoscopy	conditional	no	yes	index lesion 与 B-L 必须属于同一次内镜
lesion_pair	index_lesion_key	string	endoscopy/pathology linkage	conditional	no	yes	含 HGD/LGD 边界的 index lesion
lesion_pair	bl_lesion_key	string	endoscopy/pathology linkage	conditional	no	yes	同步独立形态学 LGD 病灶
lesion_pair	selection_rank	integer	derived	conditional	no	yes	多个 B-L 时按冻结的组织学、部位、大小和组织质量规则排序
lesion_pair	selection_rule_version	string	analysis contract	conditional	no	yes	不得使用分子或表型结果选择 B-L
