step_id	层级	执行对象	操作	必填记录	质控	失败处置	责任角色
PATH001	L1	患者	确认散发性传统腺瘤路径	patient_key;病理结论;遗传/IBD排除状态	术语按冻结映射	争议病例单列	病理主审
PATH002	L1	标本	确认HGD、连续LGD和无明确浸润	病理级别;连续LGD;浸润状态	保留争议说明	不满足者记录首个失败原因	病理主审
PATH003	L1	标本	盘点同一标本全部蜡块	block_key列表;代表关系	不得只看诊断代表块	缺块标记不可调取	标本库管理员
PATH004	L1	蜡块	评价碎片化、烧灼、特殊处理和余量	fragmentation;artifact;special_processing;tissue_remaining	统一四级余量	不足者不进入技术试点	病理主审
PATH005	L1	患者	寻找同次内镜独立LGD	B-L病灶;部位;大小;组织学;蜡块	按冻结规则排序	没有B-L不排除主队列	病理+内镜专家
PATH006	L1	患者	寻找匹配正常组织	正常块/正常DNA来源;可用量	避免明显肿瘤污染	缺失单列并评估替代	病理主审
PATH007	L2	全切片	扫描既有HE	扫描参数;层号;质量	完整覆盖和对焦	重扫或标记局部不可用	数字病理技师
PATH008	L2	全切片	描画HGD/LGD边界及置信带	坐标;边界版本;不确定度	主审冻结	不确定区不得强制near	病理主审
PATH009	L2	全切片	标注W-H和W-L取材候选区	region_role;x/y;section_level	保留near/mid/far跨度	跨度不足退出梯度试点	病理主审
PATH010	L2	全切片	标注匹配阴性边界	修复/糜烂;非HGD边界;拓扑匹配伪边界	与真边界同算法；记录病灶拓扑/边缘距离/可用黏膜长度匹配质量	无可用阴性边界需说明	病理主审
PATH011	L2	重复病例	总体一致性重复标注	盲态重复版本	至少20%完整病例；kappa/ICC；不替代E1 near-L全量双人复核	低一致性先修订SOP	第二病理医师
PATH012	L2	连续切片	配准HE、膜片、RNA和mIF层	层号;变形;配准误差;P95误差;典型腺体直径	跨层坐标可追溯	严重变形层不用于配对	空间分析负责人
PATH013	L3	腺体	显微切割/激光捕获	gland_key;region_key;坐标;顺序;纯度;单位类型	单腺体与腺体簇分开	纯度不足记录fail	病理+切割平台
PATH014	L3	最初5例	每关键区高密度取材	每区8-12个腺体及采样顺序	支持饱和曲线	不得只保留成功腺体	切割平台
PATH015	L3	未染层	分配DNA/RNA/mIF/备用层	层号;厚度;用途;剩余量	诊断安全余量不可动用	组织不足按优先级停止后项	病理负责人
PATH016	L3	mIF/IHC	区室化评分	上皮/间质/免疫区室;可判读面积;批次	不得仅整片H-score	区室不可分则降级	空间病理负责人
PATH017	全程	蜡块	组织消耗登记	切片日期;层数;厚度;用途;操作者;剩余等级	每次操作后更新	记录异常并暂停后续切取	标本库管理员
PATH018	L2-L5	E1 near-L候选区	第二胃肠病理医师独立复核	主审等级;复核等级;一致/不一致;不确定带;裁决	所有拟进入E1的near-L全量执行	不一致/疑似HGD坐标退出主要E1或裁决后重标	第二病理医师+病理主审
PATH019	L2	HGD/LGD边界	冻结HGD exclusion buffer	P95跨层配准误差;典型腺体直径;buffer_mm;版本	buffer=max(2×P95配准误差,1个典型腺体直径);不看分子表型	无法建立buffer则停止near-L主线	病理+空间负责人
PATH020	L3-L5	分子切片层组	sandwich H&E前后复核	pre_HE_level;post_HE_level;LGD一致性;HGD/疑似HGD;跨层备注	分子层组前后均需支持纯LGD	出现HGD/疑似HGD/不可判定则该坐标退出主要E1	病理主审
PATH021	L3-L5	near-L腺体	HGD admixture联合QC	possible_hgd_admixture;病理理由;配准理由;分子理由;最终处置	低VAF成组HGD-private事件不得单独作为同克隆证据	未解决admixture退出主要E1，保留敏感性分析	病理+分子+克隆判定员
PATH022	L2-L5	伪边界	匹配病灶拓扑的阴性边界	边缘距离;黏膜长度;曲率/拓扑;组织质量;匹配质量	不得随意随机画线	匹配不足时仅描述性，不作为强阴性对照	病理+空间负责人
